pressure	height	temperature	dewpoint	direction	speed	u_wind	v_wind	station	station_number	time	latitude	longitude	elevation
986.0	178	26.6	17.6	195.0	7.0	1.8117333157176456	6.761480784023478	ILX	74560	2019-05-28	40.15	-89.33	178.0
977.0	260	26.6	15.6	203.0	10.0	3.9073112848927356	9.205048534524403	ILX	74560	2019-05-28	40.15	-89.33	178.0
939.0	610	23.4	14.6	240.0	22.0	19.052558883257646	11.00000000000001	ILX	74560	2019-05-28	40.15	-89.33	178.0
925.0	742	22.2	14.2	235.0	21.0	17.202192930068822	12.045105163371973	ILX	74560	2019-05-28	40.15	-89.33	178.0
906.8	914	20.6	13.7	240.0	23.0	19.918584287042084	11.50000000000001	ILX	74560	2019-05-28	40.15	-89.33	178.0
878.0	1192	18.0	13.0	245.0	25.0	22.657694675916254	10.56545654351748	ILX	74560	2019-05-28	40.15	-89.33	178.0
875.3	1219	17.9	12.6	245.0	25.0	22.657694675916254	10.56545654351748	ILX	74560	2019-05-28	40.15	-89.33	178.0
869.0	1281	17.6	11.6	243.0	28.0	24.948182677274296	12.711733992707314	ILX	74560	2019-05-28	40.15	-89.33	178.0
855.0	1420	18.2	6.2	237.0	35.0	29.353469878089847	19.062366225525945	ILX	74560	2019-05-28	40.15	-89.33	178.0
850.0	1470	18.2	5.2	235.0	38.0	31.12777768298168	21.795904581339762	ILX	74560	2019-05-28	40.15	-89.33	178.0
847.0	1500	18.2	4.2	234.0	38.0	30.742645786247998	22.335839587113984	ILX	74560	2019-05-28	40.15	-89.33	178.0
814.9	1829	15.8	0.0	225.0	43.0	30.40559159102154	30.40559159102155	ILX	74560	2019-05-28	40.15	-89.33	178.0
794.0	2049	14.2	-2.8	229.0	44.0	33.20722152980197	28.866597275582322	ILX	74560	2019-05-28	40.15	-89.33	178.0
786.0	2134	13.5	-1.7	230.0	44.0	33.705955497235024	28.282654826207736	ILX	74560	2019-05-28	40.15	-89.33	178.0
768.0	2329	11.8	0.8	233.0	47.0	37.535868972222765	28.285306088146267	ILX	74560	2019-05-28	40.15	-89.33	178.0
758.0	2438	12.0	-5.7	235.0	48.0	39.3192981258716	27.531668944850225	ILX	74560	2019-05-28	40.15	-89.33	178.0
756.0	2460	12.0	-7.0	236.0	48.0	39.793803482642005	26.841259366595835	ILX	74560	2019-05-28	40.15	-89.33	178.0
730.7	2743	9.0	-6.1	245.0	43.0	38.97123484257596	18.172585254850063	ILX	74560	2019-05-28	40.15	-89.33	178.0
724.0	2820	8.2	-5.8	246.0	44.0	40.19600013627444	17.896412295335203	ILX	74560	2019-05-28	40.15	-89.33	178.0
721.0	2854	7.8	-2.2	247.0	45.0	41.42271840535981	17.582900782017322	ILX	74560	2019-05-28	40.15	-89.33	178.0
717.0	2900	8.0	3.5	247.0	45.0	41.42271840535981	17.582900782017322	ILX	74560	2019-05-28	40.15	-89.33	178.0
713.0	2946	8.0	5.3	248.0	46.0	42.65045731007222	17.231903297131964	ILX	74560	2019-05-28	40.15	-89.33	178.0
700.0	3098	7.0	5.5	250.0	48.0	45.105245797723605	16.416966879632092	ILX	74560	2019-05-28	40.15	-89.33	178.0
696.0	3145	6.6	5.2	250.0	48.0	45.105245797723605	16.416966879632092	ILX	74560	2019-05-28	40.15	-89.33	178.0
653.7	3658	3.1	1.7	250.0	53.0	49.803708901653145	18.12706759626043	ILX	74560	2019-05-28	40.15	-89.33	178.0
653.0	3667	3.0	1.6	250.0	53.0	49.803708901653145	18.12706759626043	ILX	74560	2019-05-28	40.15	-89.33	178.0
614.0	4165	1.0	0.0	258.0	54.0	52.8199704396255	11.227231304159028	ILX	74560	2019-05-28	40.15	-89.33	178.0
607.0	4257	-0.1	-1.0	260.0	54.0	53.17961866265923	9.377001594014239	ILX	74560	2019-05-28	40.15	-89.33	178.0
606.2	4267	-0.1	-1.1	260.0	54.0	53.17961866265923	9.377001594014239	ILX	74560	2019-05-28	40.15	-89.33	178.0
583.5	4572	-1.2	-3.3	265.0	55.0	54.790708395046	4.793565851121204	ILX	74560	2019-05-28	40.15	-89.33	178.0
561.7	4877	-2.3	-5.5	260.0	50.0	49.2403876506104	8.682408883346517	ILX	74560	2019-05-28	40.15	-89.33	178.0
558.0	4929	-2.5	-5.9	260.0	49.0	48.255579897598196	8.508760705679586	ILX	74560	2019-05-28	40.15	-89.33	178.0
540.5	5182	-3.8	-5.8	260.0	46.0	45.30115663856157	7.987816172678795	ILX	74560	2019-05-28	40.15	-89.33	178.0
533.0	5293	-4.3	-5.8	264.0	45.0	44.753485291572304	4.703780847044401	ILX	74560	2019-05-28	40.15	-89.33	178.0
499.7	5791	-11.2	-23.9	280.0	43.0	42.34673337952495	-7.466871639677989	ILX	74560	2019-05-28	40.15	-89.33	178.0
482.0	6070	-15.1	-34.1	285.0	48.0	46.36443966187528	-12.423314164920974	ILX	74560	2019-05-28	40.15	-89.33	178.0
480.3	6096	-15.2	-34.2	285.0	49.0	47.330365488164354	-12.682133210023494	ILX	74560	2019-05-28	40.15	-89.33	178.0
443.0	6704	-17.9	-36.9	289.0	48.0	45.384891628767214	-15.627271413943504	ILX	74560	2019-05-28	40.15	-89.33	178.0
400.0	7460	-23.1	-44.1	295.0	47.0	42.59646599072254	-19.86305830181288	ILX	74560	2019-05-28	40.15	-89.33	178.0
391.1	7620	-24.2	-45.3	295.0	45.0	40.783850416649244	-19.01782177833148	ILX	74560	2019-05-28	40.15	-89.33	178.0
374.8	7925	-26.3	-47.6	295.0	42.0	38.06492705553929	-17.749966993109382	ILX	74560	2019-05-28	40.15	-89.33	178.0
326.0	8923	-33.1	-55.1	291.0	35.0	32.67531492740206	-12.542878234085514	ILX	74560	2019-05-28	40.15	-89.33	178.0
315.8	9144	-34.9	-56.2	290.0	33.0	31.009856485934975	-11.286664729747077	ILX	74560	2019-05-28	40.15	-89.33	178.0
300.0	9500	-37.9	-57.9	285.0	30.0	28.977774788672054	-7.764571353075609	ILX	74560	2019-05-28	40.15	-89.33	178.0
289.1	9754	-39.8	-59.3	280.0	28.0	27.574617084341828	-4.862148974674039	ILX	74560	2019-05-28	40.15	-89.33	178.0
279.0	10000	-41.7	-60.7	280.0	31.0	30.52904034337845	-5.383093507674829	ILX	74560	2019-05-28	40.15	-89.33	178.0
268.0	10273	-44.1	-59.1	280.0	34.0	33.48346360241508	-5.904038040675619	ILX	74560	2019-05-28	40.15	-89.33	178.0
254.0	10634	-46.3	-54.3	280.0	38.0	37.42269461446391	-6.598630751343339	ILX	74560	2019-05-28	40.15	-89.33	178.0
252.7	10668	-46.5	-54.5	280.0	38.0	37.42269461446391	-6.598630751343339	ILX	74560	2019-05-28	40.15	-89.33	178.0
250.0	10740	-46.9	-54.9	275.0	42.0	41.84017731985331	-3.660541195401631	ILX	74560	2019-05-28	40.15	-89.33	178.0
239.0	11037	-48.7	-56.7	266.0	41.0	40.900126060652795	2.860015423509149	ILX	74560	2019-05-28	40.15	-89.33	178.0
219.5	11582	-53.8	-61.8	250.0	39.0	36.64801221065043	13.338785589701073	ILX	74560	2019-05-28	40.15	-89.33	178.0
200.0	12180	-59.3	-67.3	255.0	43.0	41.53481053042994	11.129218939408387	ILX	74560	2019-05-28	40.15	-89.33	178.0
185.0	12661	-63.5	-70.5	260.0	50.0	49.2403876506104	8.682408883346517	ILX	74560	2019-05-28	40.15	-89.33	178.0
180.8	12802	-63.7	-71.1	260.0	52.0	51.21000315663482	9.029705238680377	ILX	74560	2019-05-28	40.15	-89.33	178.0
166.0	13322	-64.5	-73.5	264.0	30.0	29.835656861048204	3.135853898029601	ILX	74560	2019-05-28	40.15	-89.33	178.0
163.6	13411	-63.7	-72.7	265.0	26.0	25.901062150385386	2.2660493114391143	ILX	74560	2019-05-28	40.15	-89.33	178.0
161.0	13508	-62.9	-71.9	263.0	35.0	34.739115307446276	4.265427019180151	ILX	74560	2019-05-28	40.15	-89.33	178.0
155.6	13716	-64.2	-73.2	260.0	54.0	53.17961866265923	9.377001594014239	ILX	74560	2019-05-28	40.15	-89.33	178.0
155.0	13740	-64.3	-73.3	260.0	54.0	53.17961866265923	9.377001594014239	ILX	74560	2019-05-28	40.15	-89.33	178.0
150.0	13940	-63.7	-72.7	260.0	50.0	49.2403876506104	8.682408883346517	ILX	74560	2019-05-28	40.15	-89.33	178.0
149.0	13981	-63.7	-72.7	259.0	50.0	49.0813591723832	9.54044976882723	ILX	74560	2019-05-28	40.15	-89.33	178.0
146.0	14106	-64.3	-73.3	256.0	50.0	48.514786313799824	12.096094779983389	ILX	74560	2019-05-28	40.15	-89.33	178.0
143.0	14234	-62.1	-72.1	252.0	49.0	46.60176929846252	15.141832724372431	ILX	74560	2019-05-28	40.15	-89.33	178.0
140.9	14326	-61.5	-71.5	250.0	49.0	46.04493841850951	16.758987022957758	ILX	74560	2019-05-28	40.15	-89.33	178.0
140.0	14365	-61.3	-71.3	251.0	49.0	46.33041020436652	15.952839568400675	ILX	74560	2019-05-28	40.15	-89.33	178.0
138.0	14455	-60.3	-71.3	252.0	49.0	46.60176929846252	15.141832724372431	ILX	74560	2019-05-28	40.15	-89.33	178.0
132.0	14733	-59.9	-70.9	257.0	50.0	48.71850323926176	11.247552717193262	ILX	74560	2019-05-28	40.15	-89.33	178.0
129.0	14877	-60.3	-71.3	259.0	50.0	49.0813591723832	9.54044976882723	ILX	74560	2019-05-28	40.15	-89.33	178.0
127.8	14935	-60.1	-71.4	260.0	50.0	49.2403876506104	8.682408883346517	ILX	74560	2019-05-28	40.15	-89.33	178.0
125.0	15074	-59.5	-71.5	262.0	41.0	40.600990818404384	5.706097139362699	ILX	74560	2019-05-28	40.15	-89.33	178.0
121.7	15240	-60.4	-71.8	265.0	30.0	29.885840942752367	2.6146722824297477	ILX	74560	2019-05-28	40.15	-89.33	178.0
119.0	15381	-61.1	-72.1	265.0	31.0	30.882035640844112	2.701828025177406	ILX	74560	2019-05-28	40.15	-89.33	178.0
109.0	15926	-61.9	-72.9	265.0	37.0	36.85920382939459	3.224762481663355	ILX	74560	2019-05-28	40.15	-89.33	178.0
107.0	16041	-60.7	-72.7	265.0	38.0	37.85539852748633	3.3119182244110137	ILX	74560	2019-05-28	40.15	-89.33	178.0
100.0	16460	-63.5	-75.5	265.0	42.0	41.84017731985331	3.6605411954016462	ILX	74560	2019-05-28	40.15	-89.33	178.0
90.0	17106	-64.9	-76.9	265.0	27.0	26.89725684847713	2.353205054186773	ILX	74560	2019-05-28	40.15	-89.33	178.0
88.1	17236	-63.1	-76.1	258.0	24.0	23.475542417611333	4.989880579626234	ILX	74560	2019-05-28	40.15	-89.33	178.0
85.3	17435	-63.1	-76.1	248.0	21.0	19.470860945902533	7.866738461734158	ILX	74560	2019-05-28	40.15	-89.33	178.0
78.9	17913	-65.3	-77.3	224.0	11.0	7.64124207504897	7.912737803725162	ILX	74560	2019-05-28	40.15	-89.33	178.0
77.2	18047	-63.1	-76.1	217.0	9.0	5.4163352083684355	7.187719590425635	ILX	74560	2019-05-28	40.15	-89.33	178.0
74.2	18288	-63.0	-76.0	205.0	4.0	1.690473046962797	3.6252311481466	ILX	74560	2019-05-28	40.15	-89.33	178.0
70.0	18650	-62.9	-75.9	175.0	11.0	-0.9587131702242402	10.9581416790092	ILX	74560	2019-05-28	40.15	-89.33	178.0
67.2	18898	-63.8	-76.8	200.0	15.0	5.13030214988503	14.095389311788626	ILX	74560	2019-05-28	40.15	-89.33	178.0
